id,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,fillKey
AMA,"0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%",C1
ANT,"15,1%","15,0%","15,1%","14,4%","14,2%","14,0%","13,8%","13,9%","13,8%","14,0%","14,3%","14,6%","14,4%","14,3%","14,5%","14,9%","14,9%","14,5%",C2
ARA,"1,1%","1,1%","1,0%","1,2%","1,0%","1,0%","1,0%","0,9%","0,8%","0,7%","0,6%","0,5%","0,5%","0,5%","0,5%","0,5%","0,6%","0,6%",C3
ATL,"4,0%","4,0%","4,2%","4,1%","4,1%","3,9%","3,8%","4,0%","4,1%","4,2%","4,4%","4,5%","4,4%","4,4%","4,4%","4,5%","4,4%","4,3%",C4
BOG,"26,6%","26,3%","26,2%","25,6%","26,1%","25,7%","24,7%","24,7%","24,8%","25,0%","25,7%","25,6%","25,7%","25,7%","25,8%","26,1%","25,4%","24,6%",C1
BOL,"3,3%","3,4%","3,4%","3,4%","3,3%","3,4%","3,5%","3,5%","3,6%","3,5%","3,5%","3,6%","3,6%","3,6%","3,6%","3,5%","3,5%","3,5%",C2
BOY,"2,4%","2,4%","2,6%","2,7%","2,6%","2,7%","2,8%","2,7%","2,7%","2,7%","2,8%","2,7%","2,7%","2,7%","2,7%","2,7%","2,6%","2,7%",C1
CAL,"1,8%","1,8%","1,8%","1,7%","1,7%","1,6%","1,5%","1,5%","1,5%","1,5%","1,6%","1,6%","1,6%","1,6%","1,6%","1,7%","1,6%","1,6%",C2
CAQ,"0,4%","0,4%","0,4%","0,4%","0,4%","0,4%","0,3%","0,4%","0,4%","0,4%","0,4%","0,4%","0,4%","0,4%","0,4%","0,4%","0,4%","0,4%",C3
CAS,"2,3%","2,2%","1,9%","2,1%","1,8%","1,9%","2,3%","2,4%","2,3%","2,2%","1,7%","1,4%","1,4%","1,6%","1,6%","1,3%","1,4%","1,6%",C2
CAU,"1,5%","1,5%","1,5%","1,5%","1,5%","1,6%","1,5%","1,6%","1,6%","1,7%","1,8%","1,9%","1,8%","1,8%","1,8%","1,8%","1,8%","1,8%",C1
CES,"1,9%","1,9%","1,9%","2,1%","2,1%","2,0%","2,1%","2,1%","1,9%","1,8%","1,8%","2,0%","2,1%","2,2%","2,0%","1,8%","2,0%","2,6%",C2
CHO,"0,4%","0,4%","0,3%","0,4%","0,4%","0,5%","0,6%","0,5%","0,4%","0,4%","0,4%","0,5%","0,4%","0,4%","0,4%","0,4%","0,4%","0,4%",C3
COR,"1,8%","1,8%","1,9%","1,7%","1,7%","1,7%","1,6%","1,6%","1,6%","1,7%","1,7%","1,7%","1,7%","1,7%","1,7%","1,8%","1,8%","1,7%",C2
CUN,"5,8%","5,6%","5,7%","5,7%","5,8%","5,8%","5,7%","5,7%","5,7%","5,7%","6,0%","6,2%","6,1%","6,0%","6,0%","6,1%","6,2%","6,2%",C1
