id,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,fillKey
GUA,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",C1
GUV,"0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%",C1
HUI,"1,8%","1,7%","1,7%","1,8%","1,7%","1,8%","1,8%","1,8%","1,7%","1,8%","1,7%","1,7%","1,7%","1,6%","1,6%","1,7%","1,7%","1,7%",C1
GUJ,"1,2%","1,2%","1,2%","1,4%","1,4%","1,3%","1,3%","1,3%","1,1%","1,1%","1,1%","1,1%","1,2%","1,2%","1,1%","0,9%","1,2%","1,5%",C1
MAG,"1,3%","1,2%","1,2%","1,3%","1,4%","1,3%","1,3%","1,3%","1,3%","1,3%","1,3%","1,4%","1,3%","1,3%","1,3%","1,4%","1,4%","1,4%",C2
MET,"2,4%","2,5%","2,5%","3,2%","3,4%","4,3%","5,8%","5,9%","5,9%","4,9%","3,8%","3,0%","3,3%","3,6%","3,6%","3,1%","3,4%","3,8%",C2
NAR,"1,5%","1,6%","1,5%","1,5%","1,5%","1,4%","1,4%","1,4%","1,4%","1,4%","1,5%","1,6%","1,5%","1,5%","1,5%","1,6%","1,5%","1,5%",C2
NSA,"1,5%","1,6%","1,6%","1,6%","1,7%","1,6%","1,5%","1,5%","1,5%","1,5%","1,6%","1,6%","1,6%","1,6%","1,5%","1,6%","1,6%","1,6%",C2
PUT,"0,3%","0,3%","0,4%","0,4%","0,5%","0,5%","0,6%","0,6%","0,6%","0,6%","0,4%","0,4%","0,4%","0,4%","0,4%","0,3%","0,4%","0,4%",C2
QUI,"0,8%","0,9%","0,8%","0,8%","0,8%","0,8%","0,8%","0,8%","0,8%","0,7%","0,8%","0,8%","0,8%","0,8%","0,8%","0,8%","0,8%","0,8%",C2
RIS,"1,6%","1,7%","1,6%","1,6%","1,6%","1,5%","1,5%","1,4%","1,5%","1,5%","1,6%","1,6%","1,6%","1,6%","1,6%","1,6%","1,6%","1,6%",C2
SAP,"0,1%","0,1%","0,2%","0,1%","0,2%","0,1%","0,1%","0,1%","0,1%","0,2%","0,2%","0,2%","0,2%","0,2%","0,2%","0,1%","0,1%","0,1%",C2
SAN,"5,5%","5,7%","5,7%","6,0%","5,7%","6,0%","6,1%","6,0%","6,1%","6,7%","6,5%","6,4%","6,5%","6,5%","6,5%","6,2%","6,3%","6,4%",C2
SUC,"0,7%","0,7%","0,7%","0,7%","0,8%","0,7%","0,7%","0,7%","0,8%","0,8%","0,8%","0,8%","0,8%","0,8%","0,8%","0,8%","0,8%","0,8%",C2
TOL,"2,3%","2,3%","2,3%","2,4%","2,3%","2,2%","2,2%","2,2%","2,1%","2,2%","2,2%","2,2%","2,2%","2,1%","2,1%","2,1%","2,1%","2,1%",C3
VAC,"10,2%","10,4%","10,5%","10,1%","10,3%","10,0%","9,4%","9,4%","9,3%","9,5%","9,7%","9,9%","9,8%","9,7%","9,7%","10,0%","9,8%","9,6%",C1
VAU,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",C3
VID,"0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%","0,1%",C3
